id,Economy,Immigration,Healthcare,Military,Gun_Control,China,Trade,Race,Climate_Change,Religion

Clinton,310504,552339,259034,450818,552339,259034,450818,1231572,1215966,641667
Sanders,52083,85640,42153,74257,85640,42153,74257,198724,183159,50277
Cruz,515910,828669,362642,601943,828669,362642,601943,1804762,1523681,862573
Trump,202070,343207,157204,264160,343207,157204,264160,754420,727124,407205
Democrats,274659,449890,219981,853788,4499890,2159981,3853788,10604510,8819342,4114496
Republicans,358280,587154,261701,466194,587154,261701,466194,1464939,1290094,511094


